TimeStamp,BusChannel,ID,IDE,DLC,DataLength,Dir,EDL,ESI,BRS,DataBytes,SA
2022-12-27 14:38:05.936700+00:00,1,166854657,True,8,8,False,False,False,False,"[1, 0, 0, 255, 3, 0, 255, 255]",
2022-12-27 14:38:05.937300+00:00,1,166855937,True,8,8,False,False,False,False,"[1, 253, 246, 4, 255, 255, 0, 255]",
2022-12-27 14:38:05.937850+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:05.938550+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:05.943200+00:00,1,486531328,True,8,8,False,False,False,False,"[167, 154, 0, 0, 0, 0, 0, 0]",
2022-12-27 14:38:05.943800+00:00,1,150956288,True,8,8,False,False,False,False,"[58, 159, 0, 17, 255, 255, 0, 0]",
2022-12-27 14:38:05.944350+00:00,1,150956288,True,8,8,False,False,False,False,"[58, 159, 16, 31, 0, 0, 0, 0]",
2022-12-27 14:38:05.946800+00:00,1,486531329,True,8,8,False,False,False,False,"[167, 154, 1, 0, 0, 0, 0, 0]",
2022-12-27 14:38:05.947350+00:00,1,150956289,True,8,8,False,False,False,False,"[58, 159, 1, 17, 255, 255, 0, 0]",
2022-12-27 14:38:05.947800+00:00,1,5,False,8,8,False,False,False,False,"[1, 1, 50, 49, 76, 179, 0, 0]",
2022-12-27 14:38:05.948400+00:00,1,150956289,True,8,8,False,False,False,False,"[58, 159, 17, 31, 0, 0, 0, 0]",
2022-12-27 14:38:05.957700+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:05.958550+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:05.977700+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:05.978600+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:05.997600+00:00,1,5,False,8,8,False,False,False,False,"[1, 1, 50, 49, 76, 179, 0, 0]",
2022-12-27 14:38:05.998600+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:05.999600+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.000600+00:00,1,218041296,True,8,8,False,False,False,False,"[6, 74, 15, 0, 5, 253, 53, 255]",
2022-12-27 14:38:06.017750+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.018650+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.033150+00:00,1,166854656,True,8,8,False,False,False,False,"[0, 0, 0, 2, 4, 0, 255, 255]",
2022-12-27 14:38:06.033750+00:00,1,166854912,True,0,27,False,False,False,False,"[0, 0, 0, 190, 10, 100, 125, 137, 4, 0, 0, 226, 104, 45, 0, 255, 255, 255, 255, 255, 0, 0, 0, 0, 0, 0, 255]",0.0
2022-12-27 14:38:06.036050+00:00,1,166855936,True,8,8,False,False,False,False,"[0, 253, 252, 3, 255, 255, 0, 255]",
2022-12-27 14:38:06.036800+00:00,1,166854657,True,8,8,False,False,False,False,"[1, 0, 0, 255, 3, 0, 255, 255]",
2022-12-27 14:38:06.037400+00:00,1,166855937,True,8,8,False,False,False,False,"[1, 253, 0, 5, 255, 255, 0, 255]",
2022-12-27 14:38:06.037950+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.038650+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.043200+00:00,1,368905216,True,8,8,False,False,False,False,"[255, 0, 129, 45, 120, 4, 255, 255]",
2022-12-27 14:38:06.043800+00:00,1,368905216,True,8,8,False,False,False,False,"[255, 0, 131, 180, 148, 4, 255, 255]",
2022-12-27 14:38:06.044350+00:00,1,486531328,True,8,8,False,False,False,False,"[167, 154, 0, 0, 0, 0, 0, 0]",
2022-12-27 14:38:06.044950+00:00,1,150956288,True,8,8,False,False,False,False,"[58, 159, 0, 17, 255, 255, 0, 0]",
2022-12-27 14:38:06.045550+00:00,1,150956288,True,8,8,False,False,False,False,"[58, 159, 16, 31, 0, 0, 0, 0]",
2022-12-27 14:38:06.046850+00:00,1,486531329,True,8,8,False,False,False,False,"[167, 154, 1, 0, 0, 0, 0, 0]",
2022-12-27 14:38:06.047400+00:00,1,150956289,True,8,8,False,False,False,False,"[58, 159, 1, 17, 255, 255, 0, 0]",
2022-12-27 14:38:06.047900+00:00,1,5,False,8,8,False,False,False,False,"[1, 1, 50, 49, 76, 179, 0, 0]",
2022-12-27 14:38:06.048450+00:00,1,150956289,True,8,8,False,False,False,False,"[58, 159, 17, 31, 0, 0, 0, 0]",
2022-12-27 14:38:06.057750+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.058650+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.077800+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.078650+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.097700+00:00,1,5,False,8,8,False,False,False,False,"[1, 1, 50, 49, 76, 179, 0, 0]",
2022-12-27 14:38:06.098700+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.099700+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.100700+00:00,1,218041296,True,8,8,False,False,False,False,"[6, 74, 15, 0, 5, 253, 53, 255]",
2022-12-27 14:38:06.117850+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.118700+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.119700+00:00,1,218066433,True,8,8,False,False,False,False,"[58, 159, 240, 17, 0, 0, 255, 12]",
2022-12-27 14:38:06.133200+00:00,1,166854656,True,8,8,False,False,False,False,"[0, 0, 0, 2, 4, 0, 255, 255]",
2022-12-27 14:38:06.133800+00:00,1,166855936,True,8,8,False,False,False,False,"[0, 253, 252, 3, 255, 255, 0, 255]",
2022-12-27 14:38:06.136750+00:00,1,166854657,True,8,8,False,False,False,False,"[1, 0, 0, 255, 3, 0, 255, 255]",
2022-12-27 14:38:06.137350+00:00,1,166855937,True,8,8,False,False,False,False,"[1, 253, 0, 5, 255, 255, 0, 255]",
2022-12-27 14:38:06.137900+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.138750+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.143250+00:00,1,486531328,True,8,8,False,False,False,False,"[167, 154, 0, 0, 0, 0, 0, 0]",
2022-12-27 14:38:06.143850+00:00,1,150956288,True,8,8,False,False,False,False,"[58, 159, 0, 17, 255, 255, 0, 0]",
2022-12-27 14:38:06.144400+00:00,1,150956288,True,8,8,False,False,False,False,"[58, 159, 16, 31, 0, 0, 0, 0]",
2022-12-27 14:38:06.146800+00:00,1,486531329,True,8,8,False,False,False,False,"[167, 154, 1, 0, 0, 0, 0, 0]",
2022-12-27 14:38:06.147400+00:00,1,150956289,True,8,8,False,False,False,False,"[58, 159, 1, 17, 255, 255, 0, 0]",
2022-12-27 14:38:06.147850+00:00,1,5,False,8,8,False,False,False,False,"[1, 1, 50, 49, 76, 179, 0, 0]",
2022-12-27 14:38:06.148450+00:00,1,150956289,True,8,8,False,False,False,False,"[58, 159, 17, 31, 0, 0, 0, 0]",
2022-12-27 14:38:06.157850+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.158700+00:00,1,150955265,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
2022-12-27 14:38:06.177900+00:00,1,150955009,True,8,8,False,False,False,False,"[58, 159, 192, 241, 0, 0, 255, 255]",
